number,count
339,9
340,9
341,6
342,7
343,11
344,11
345,14
346,6
347,9
348,10
349,10
350,3
351,5
352,9
353,5
354,5
355,12
356,17
357,5
358,8
359,5
360,7
361,6
362,9
363,9
364,2
365,11
366,4
367,7
368,12
369,9
370,13
371,12
372,6
373,10
374,7
375,13
376,10
377,9
378,9
379,6
380,8
381,6
382,11
383,6
384,12
385,10
386,12
387,6
388,6
389,8
390,8
391,12
392,4
393,9
394,6
395,5
396,13
397,5
398,8
399,11
400,8
401,11
402,5
403,4
404,10
405,9
406,7
407,10
408,5
409,11
410,11
411,10
412,10
413,7
414,10
415,11
416,10
417,7
418,6
419,5
420,6
421,11
422,7
423,5
424,10
425,8
426,7
427,8
428,4
429,11
430,2
431,6
432,5
433,7
434,10
435,9
436,12
437,10
438,15
439,10
440,3
441,9
442,10
443,12
444,5
445,6
446,9
447,12
448,15
449,7
450,8
451,5
452,7
453,5
454,13
455,11
456,9
457,9
458,12
459,9
460,11
461,5
462,5
463,8
464,8
465,7
466,7
467,13
468,7
469,9
470,10
471,7
472,7
473,12
474,6
475,6
476,11
477,10
478,7
479,7
480,6
481,7
482,11
483,11
484,8
485,7
486,9
487,9
488,6
489,18
490,5
491,8
492,7
493,4
494,16
495,8
496,6
497,6
498,6
499,8
500,9
501,9
502,11
503,11
504,4
505,11
506,11
507,16
508,10
509,11
510,13
511,11
512,4
513,6
514,14
515,6
516,12
517,16
518,9
519,6
520,6
521,5
522,11
523,4
524,10
525,5
526,9
527,6
528,9
529,11
530,8
531,5
532,9
533,7
534,5
535,7
536,7
537,11
538,9
539,7
540,6
541,9
542,5
543,4
544,6
545,11
546,8
547,11
548,11
549,13
550,10
551,5
552,8
553,5
554,13
555,6
556,8
557,7
558,7
559,6
560,13
561,13
562,7
563,8
564,6
565,13
566,8
567,7
568,8
569,3
570,12
571,13
572,5
573,7
574,10
575,6
576,4
577,8
578,5
579,11
580,9
581,8
582,10
583,10
584,11
585,8
586,7
587,11
588,4
589,5
590,9
591,5
592,7
593,10
594,7
595,9
596,3
597,4
598,11
599,6
600,4
601,8
602,11
603,3
604,11
605,9
606,5
607,7
608,8
609,13
610,14
611,7
612,2
613,10
614,5
615,12
616,13
617,14
618,6
619,7
620,9
621,9
622,8
623,7
624,8
625,8
626,8
627,9
628,8
629,9
630,11
631,8
632,11
633,6
634,10
635,10
636,13
637,5
638,5
639,15
640,9
641,10
642,8
643,8
644,8
645,6
646,3
647,8
648,5
649,9
650,6
651,7
652,8
653,10
654,6
655,5
656,4
657,8
658,8
659,10
660,9
661,6
662,10
663,9
664,10
665,11
666,8
667,4
668,4
669,10
670,6
671,6
672,7
673,6
674,5
675,9
676,8
677,5
678,12
679,5
680,5
681,16
682,11
683,9
684,8
685,10
686,7
687,7
688,7
689,6
690,8
691,12
692,9
693,5
694,8
695,6
696,11
697,7
698,7
699,10
700,13
701,12
702,7
703,11
704,10
705,13
706,7
707,4
708,8
709,4
710,10
711,6
712,13
713,12
714,8
715,8
716,16
717,10
718,12
719,1
720,4
721,11
722,9
723,5
724,8
725,11
726,10
727,6
728,4
729,5
730,6
731,6
732,10
733,6
734,9
735,10
736,15
737,6
738,6
739,15
740,4
741,7
742,7
743,7
744,7
745,5
746,5
747,9
748,6
749,9
750,10
751,9
752,7
753,11
754,7
755,10
756,5
757,9
758,5
759,9
760,8
761,10
762,12
763,4
764,16
765,8
766,11
767,4
768,8
769,4
770,9
771,10
772,5
773,7
774,2
775,6
776,7
777,11
778,7
779,6
780,13
781,10
782,13
783,10
784,5
785,5
786,6
787,6
788,11
789,6
790,4
791,9
792,6
793,10
794,7
795,10
796,6
797,6
798,8
799,8
800,6
801,9
802,7
803,9
804,9
805,6
806,8
807,6
808,10
809,10
810,6
811,6
812,7
813,4
814,7
815,10
816,4
817,11
818,10
819,13
820,4
821,5
822,9
823,9
824,13
825,4
826,4
827,9
828,6
829,11
830,6
831,6
832,11
833,3
834,10
835,4
836,9
837,9
838,8
839,7
840,4
841,9
842,6
843,9
844,13
845,10
846,3
847,8
848,4
849,7
850,11
851,8
852,8
853,9
854,7
855,8
856,10
857,8
858,5
859,9
860,12
861,2
862,5
863,6
864,10
865,7
866,10
867,8
868,9
869,6
870,6
871,7
872,11
873,12
874,5
875,7
876,5
877,6
878,8
879,8
880,11
881,6
882,13
883,7
884,8
885,12
886,13
887,10
888,6
889,5
890,4
891,6
892,10
893,9
894,11
895,10
896,8
897,12
898,4
899,8
900,13
901,6
902,7
903,10
904,9
905,9
906,11
907,6
908,8
909,8
910,6
911,9
912,8
913,8
914,8
915,11
916,8
917,7
918,8
919,6
920,8
921,7
922,5
923,5
924,9
925,8
926,10
927,9
928,3
929,7
930,12
931,9
932,8
933,6
934,12
935,6
936,7
937,13
938,7
939,8
940,8
941,6
942,7
943,6
944,6
945,8
946,7
947,4
948,9
949,10
950,6
951,11
952,9
953,8
954,14
955,5
956,12
957,9
958,9
959,10
960,9
961,4
962,14
963,11
964,12
965,17
966,7
967,12
968,10
969,6
970,14
971,8
972,8
973,8
974,11
975,7
976,4
977,10
978,12
979,7
980,4
981,9
982,13
983,7
984,13
985,5
986,5
987,6
988,8
989,8
990,4
991,12
992,4
993,10
994,5
995,7
996,11
997,17
998,13
999,6
